Species,Diameter,Condition,Sidewalk_Condition,Borough,Longitude,Latitude
ULAM,8,Good,Good,Manhattan,-74.004066,40.725374
PYCA,5,Good,Good,Manhattan,-74.004066,40.725374
ULAM,8,Good,Good,Manhattan,-74.004066,40.725374
ZESE,3,Good,Good,Manhattan,-74.004066,40.725374
ULAM,9,Excellent,Good,Manhattan,-74.004066,40.725374
TICO,6,Poor,Good,Manhattan,-74.004066,40.725374
ULAM,9,Excellent,Good,Manhattan,-74.004066,40.725374
TICO,0,Dead,Good,Manhattan,-74.004066,40.725374
ULAM,8,Good,Good,Manhattan,-74.004066,40.725374
ULAM,7,Good,Good,Manhattan,-74.004066,40.725374
ULAM,9,Good,Good,Manhattan,-74.004066,40.725374
ZESE,11,Excellent,Good,Manhattan,-74.004569,40.724183
ULAM,8,Poor,Good,Manhattan,-74.004569,40.724183
COMA,10,Good,Good,Manhattan,-74.004569,40.724183
COMA,9,Excellent,Good,Manhattan,-74.004569,40.724183
COMA,10,Good,Good,Manhattan,-74.004569,40.724183
COMA,11,Good,Good,Manhattan,-74.004569,40.724183
ZESE,8,Excellent,Good,Manhattan,-74.004183,40.724922
PYCA,3,Excellent,Good,Manhattan,-74.004183,40.724922
OSVI,6,Poor,Good,Manhattan,-74.004183,40.724922
OSVI,7,Excellent,Good,Manhattan,-74.004057,40.725406
OSVI,6,Good,Good,Manhattan,-74.004057,40.725406
OSVI,6,Good,Good,Manhattan,-74.004057,40.725406
OSVI,8,Good,Good,Manhattan,-74.004057,40.725406
TICO,10,Excellent,Good,Manhattan,-74.003226,40.727663
ULAM,11,Good,Good,Manhattan,-74.003226,40.727663
ACSA1,7,Excellent,Good,Manhattan,-74.002991,40.727888
TICO,6,Excellent,Good,Manhattan,-74.002991,40.727888
ULAM,10,Excellent,Good,Manhattan,-74.002991,40.727888
SOJA,5,Excellent,Good,Manhattan,-74.003223,40.728401
SOJA,4,Excellent,Good,Manhattan,-74.003223,40.728401
SOJA,5,Excellent,Good,Manhattan,-74.003223,40.728401
SOJA,6,Excellent,Good,Manhattan,-74.003223,40.728401
ZESE,7,Excellent,Good,Manhattan,-74.003697,40.728447
PLAC,13,Poor,Good,Manhattan,-74.002987,40.728378
UNKDEAD,0,Dead,Good,Manhattan,-74.002987,40.728378
PYCA,4,Good,Good,Manhattan,-74.002987,40.728378
PYCA,5,Excellent,Good,Manhattan,-74.002987,40.728378
PYCA,6,Excellent,Good,Manhattan,-74.007141,40.728443
PYCA,6,Excellent,Good,Manhattan,-74.007141,40.728443
PYCA,6,Excellent,Good,Manhattan,-74.007141,40.728443
PYCA,7,Excellent,Good,Manhattan,-74.007141,40.728443
PYCA,5,Excellent,Good,Manhattan,-74.004963,40.728571
PYCA,5,Excellent,Good,Manhattan,-74.004963,40.728571
PYCA,5,Excellent,Good,Manhattan,-74.004963,40.728571
PYCA,5,Excellent,Good,Manhattan,-74.004963,40.728571
PYCA,5,Excellent,Good,Manhattan,-74.004963,40.728571
AIAL,18,Excellent,Good,Manhattan,-74.010561,40.730075
AIAL,18,Excellent,Good,Manhattan,-74.010561,40.730075
AIAL,16,Good,Good,Manhattan,-74.009435,40.728679
AIAL,14,Good,Good,Manhattan,-74.009435,40.728679
AIAL,12,Good,Good,Manhattan,-74.009435,40.728679
AIAL,13,Good,Good,Manhattan,-74.009435,40.728679
AIAL,22,Good,Good,Manhattan,-74.009435,40.728679
AIAL,16,Poor,Good,Manhattan,-74.009435,40.728679
AIAL,19,Poor,Raised,Manhattan,-74.009435,40.728679
GLTR,8,Good,Good,Manhattan,-74.00937,40.726017
GLTR,11,Good,Good,Manhattan,-74.00937,40.726017
BE,5,Excellent,Good,Manhattan,-74.008957,40.726846
SOJA,7,Excellent,Good,Manhattan,-74.008414,40.726694
PS,0,Planting Space,Good,Manhattan,-74.007417,40.7267
PLAC,10,Good,Good,Manhattan,-74.007417,40.7267
PLAC,10,Good,Good,Manhattan,-74.007417,40.7267
