RecordId,Address,Zip_Original,Species,Diameter,Condition,Wires,Sidewalk_Condition,Support_Structure,Borough,Longitude,Latitude,Zip_New,CensusTract_2010,CensusBlock_2010,SegmentID,Spc_Common,Spc_Latin,Location
132,134 READE ST,10013,PYCA,11,Excellent,None,Good,None,Manhattan,-74.009513,40.716327,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716327, -74.009513)"
133,134 READE ST,10013,PYCA,9,Excellent,None,Good,None,Manhattan,-74.009513,40.716327,10013,39,4010,31543,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716327, -74.009513)"
134,13 HUDSON ST,10013,PYCA,11,Excellent,None,Good,None,Manhattan,-74.009198,40.716249,10013,39,4010,31544,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.716249, -74.009198)"
135,13 HUDSON ST,10013,FRPE,5,Excellent,None,Good,None,Manhattan,-74.009198,40.716249,10013,39,4010,31544,"ASH, GREEN",FRAXINUS PENNSYLVANICA,"(40.716249, -74.009198)"
136,31 CHAMBERS ST,10007,GLTR,4,Excellent,None,Good,None,Manhattan,-74.00472,40.713435,10007,31,1020,23556,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.713435, -74.00472)"
137,13 HUDSON ST,10013,GLTR,4,Poor,None,Good,None,Manhattan,-74.009198,40.716249,10013,39,4010,31544,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.716249, -74.009198)"
138,31 CHAMBERS ST,10007,GLTR,4,Excellent,None,Good,None,Manhattan,-74.00472,40.713435,10007,31,1020,23556,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.713435, -74.00472)"
139,31 CHAMBERS ST,10007,GLTR,6,Excellent,None,Good,None,Manhattan,-74.00472,40.713435,10007,31,1020,23556,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.713435, -74.00472)"
212,101 W BROADWAY,10013,GIBI,6,Excellent,None,Good,None,Manhattan,-74.009031,40.715767,10013,21,1000,23257,GINKGO,GINKGO BILOBA,"(40.715767, -74.009031)"
141,51 CHAMBERS ST,10007,GLTR,4,Excellent,None,Good,None,Manhattan,-74.005449,40.71379,10007,31,1017,23408,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.71379, -74.005449)"
142,61 CHAMBERS ST,10007,GLTR,5,Excellent,None,Good,None,Manhattan,-74.005883,40.714006,10007,31,1017,23408,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.714006, -74.005883)"
143,61 CHAMBERS ST,10007,GLTR,7,Excellent,None,Good,None,Manhattan,-74.005883,40.714006,10007,31,1017,23408,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.714006, -74.005883)"
144,162 CHAMBERS ST,10007,GLTR,3,Excellent,None,Good,None,Manhattan,-74.010627,40.716149,10007,21,2001,23255,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.716149, -74.010627)"
145,164 CHAMBERS ST,10007,GLTR,6,Good,None,Good,None,Manhattan,-74.010731,40.716196,10007,21,2001,23255,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.716196, -74.010731)"
146,166 CHAMBERS ST,10007,GLTR,5,Good,None,Good,None,Manhattan,-74.010836,40.716244,10007,21,2001,23255,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.716244, -74.010836)"
147,166 CHAMBERS ST,10007,GLTR,5,Excellent,None,Good,None,Manhattan,-74.010836,40.716244,10007,21,2001,23255,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.716244, -74.010836)"
148,166 CHAMBERS ST,10007,GLTR,5,Good,None,Good,None,Manhattan,-74.010836,40.716244,10007,21,2001,23255,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.716244, -74.010836)"
149,199 CHAMBERS ST,10013,QUPA,8,Excellent,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
150,199 CHAMBERS ST,10013,QUPA,6,Good,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
151,199 CHAMBERS ST,10013,QUPA,5,Good,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
152,199 CHAMBERS ST,10013,QUPA,6,Excellent,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
153,199 CHAMBERS ST,10013,QUPA,5,Good,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
154,199 CHAMBERS ST,10013,QUPA,4,Poor,None,Good,None,Manhattan,-74.012281,40.71692,10013,39,3000,31478,"OAK, PIN",QUERCUS PALUSTRIS,"(40.71692, -74.012281)"
